gid,folder,layer,ssid,geodatabas,featuretyp,creator,repository,earliestda,latestdate,imageviewd,shape_leng,shape_area,latitude,longitude,imageid
22,VisualDocuments,ImageViewshedsPoly,2596841,VisualDocuments,View Extent,"Musso, Luiz","Biblioteca Nacional, Rio de Janeiro",1903,1906,Theatro Municipal,0.00183136806646,0.000000205977827015,-22.909454387,-43.176088565,SS7729935_7729935_8328743
23,VisualDocuments,ImageViewshedsPoly,2596861,VisualDocuments,View Extent,"Musso, Luiz","Biblioteca Nacional, Rio de Janeiro",1903,1906,Palacio Monroe,0.00361875361951,0.000000808410832041,-22.911389223,-43.175365093,SS7729935_7729935_8328749
24,VisualDocuments,ImageViewshedsPoly,2596823,VisualDocuments,View Extent,"Musso, Luiz","Biblioteca Nacional, Rio de Janeiro",1903,1906,Praça 13 de Novembro,0.00772228065833,0.00000302157950303,-22.903477425,-43.175596397,SS7729935_7729935_8328731
25,VisualDocuments,ImageViewshedsPoly,2596834,VisualDocuments,View Extent,"Musso, Luiz","Biblioteca Nacional, Rio de Janeiro",1903,1906,Caes Pharoux,0.00354562682398,0.0000005645060215,-22.902887906,-43.171273941,SS7729935_7729935_8328737
26,VisualDocuments,ImageViewshedsPoly,2597202,VisualDocuments,View Extent,"Ferrez, Marc (Brazilian photographer, 1843-1923)","Biblioteca Nacional, Rio de Janeiro",1903,1906,Palacio Monroe,0.00116995794093,0.000000090849634749,-22.912178486,-43.174920063,SS7729935_7729935_8328782
27,VisualDocuments,ImageViewshedsPoly,2597253,VisualDocuments,View Extent,"Ferrez, Marc (Brazilian photographer, 1843-1923)","Biblioteca Nacional, Rio de Janeiro",1903,1906,Obelisco Commemorativo da construccao da Avenida Central,0.00116247457627,0.0000000613696146294,-22.912686966,-43.174570221,SS7729935_7729935_8328785
28,VisualDocuments,ImageViewshedsPoly,2597178,VisualDocuments,View Extent,"Ferrez, Marc (Brazilian photographer, 1843-1923)","Biblioteca Nacional, Rio de Janeiro",1903,1906,Avenida Central - Predio Nos. 152 - 154 - 156 - 158 - 160 - 162,0.0013201813183,0.000000120708414991,-22.907143588,-43.17676605,SS7729935_7729935_8328770
29,VisualDocuments,ImageViewshedsPoly,2597197,VisualDocuments,View Extent,"Ferrez, Marc (Brazilian photographer, 1843-1923)","Biblioteca Nacional, Rio de Janeiro",1903,1906,Avenida Central - Vista para o Sul,0.0400944362223,0.0000590422466441,-22.90588087,-43.177114778,SS7729935_7729935_8328779
30,VisualDocuments,ImageViewshedsPoly,2597187,VisualDocuments,View Extent,"Ferrez, Marc (Brazilian photographer, 1843-1923)","Biblioteca Nacional, Rio de Janeiro",1903,1906,Avenida Central - Vista para o Norte,0.0292310555914,0.000032708377643,-22.90620099,-43.177443421,SS7729935_7729935_8328773
31,VisualDocuments,ImageViewshedsPoly,2597270,VisualDocuments,View Extent,"Ferrez, Marc (Brazilian photographer, 1843-1923)","Biblioteca Nacional, Rio de Janeiro",1903,1906,Avenida Central - Lado do Oeste entre 7 de Setembro e S. José,0.00321165300279,0.000000362096085492,-22.905492596,-43.177341991,SS7729935_7729935_8328788
32,VisualDocuments,ImageViewshedsPoly,2597276,VisualDocuments,View Extent,"Ferrez, Marc (Brazilian photographer, 1843-1923)","Biblioteca Nacional, Rio de Janeiro",1903,1906,Avenida Central - Lado do Oeste entre S. José e 7 de Setembro,0.00326441321097,0.000000341030614583,-22.906510871,-43.176922172,SS7729935_7729935_8328791
33,VisualDocuments,ImageViewshedsPoly,2175350,VisualDocuments,View Extent,"Ender, Thomas (Austrian painter, 1793-1875, active in Brazil)","Akademie der Bildenden Künst, Vienna.",1817,1818,"S. Anna Kirche in Cidade nova, campo S. Anna. [Portuguese translation:] Igreja de Santana na Cidade Nova, Campo de Santana.",0.019949132653,0.0000168644511228,-22.90827205,-43.187274362,SS7729935_7729935_8316141
34,VisualDocuments,ImageViewshedsPoly,2175383,VisualDocuments,View Extent,"Ender, Thomas (Austrian painter, 1793-1875, active in Brazil)","Akademie der Bildenden Künst, Vienna.",1817,1818,Ansicht des Schauspielhauses zu Rio de Janeiro. [Portuguese translation:] Vista do Teatro [São João] no Rio de Janeiro.,0.00339264656759,0.000000635972343532,-22.906622239,-43.181979301,SS7729935_7729935_8328722
35,VisualDocuments,ImageViewshedsPoly,2247799,VisualDocuments,View Extent,"Ender, Thomas (Austrian painter, 1793-1875, active in Brazil)","Akademie der Bildenden Künst, Vienna.",1817,1818,Einfahrt nach Rio Janeiro. Zukerhut - Forte von St. Cruz. [Portuguese translation:] Entrada no Rio de Janeiro. [Esclarecimentos:] Pão de Açúcar— Fortaleza de Santa Cruz,0.125728463318,0.000886985852439,-22.941750695,-43.129968623,SS7729935_7729935_8328725
36,VisualDocuments,ImageViewshedsPoly,2247812,VisualDocuments,View Extent,"Ender, Thomas (Austrian painter, 1793-1875, active in Brazil)","Akademie der Bildenden Künst, Vienna.",1817,1818,Ansicht vom Corcovado bey Rio de Janeiro. [Portuguese translation:] Vista do Corcovado no Rio de Janeiro.,0.150722146268,0.00090458449548,-22.95741709,-43.233548874,SS7729935_7729935_8328728
37,VisualDocuments,ImageViewshedsPoly,2175359,VisualDocuments,View Extent,"Ender, Thomas (Austrian painter, 1793-1875, active in Brazil)","Akademie der Bildenden Künst, Vienna.",1817,1818,Kleiner Wasserfall von Tijuca bei Hrn. Taunay's Hause. [Portuguese translation:] Cascatinha da Tijuca próxima á casa do Sr. Taunay.,0.00322317774238,0.000000470630972584,-22.958993409,-43.277591037,SS7729935_7729935_8328720
38,VisualDocuments,ImageViewshedsPoly,2247819,VisualDocuments,View Extent,"Ender, Thomas (Austrian painter, 1793-1875, active in Brazil)","Akademie der Bildenden Künst, Vienna.",1817,1818,Ansicht von Cadete bey Rio de Janeiro. [Portuguese translation:] Vista do Cadete [Catete] no Rio de Janeiro.,0.217425449944,0.00231435953585,-22.921578695,-43.175420636,SS7729935_7729935_8328731
